Model Seed,# of Presence,# of Background,True Positive Rate,Precision,Recall,F1-Score,Threshold
847,2901,25590,0.870044812133747,0.912179255511384,0.870044812133747,0.8906139731827805,0.393939393939394
991,6270,33755,0.8848484848484849,0.92021894178139,0.8848484848484849,0.9021871696885926,0.27272727272727276
343,7868,31484,0.9246314184036604,0.919257012888552,0.9246314184036604,0.9219363832213914,0.42424242424242425
197,8184,38450,0.8925953079178885,0.9248006076718572,0.8925953079178885,0.9084126095877636,0.3434343434343435
783,6175,29167,0.9206477732793522,0.9243902439024392,0.9206477732793522,0.9225152129817444,0.5353535353535354
9,4467,17982,0.9131408103872846,0.957511737089202,0.9131408103872846,0.9348000458347656,0.6565656565656566
283,1792,18536,0.8683035714285714,0.9152941176470588,0.8683035714285714,0.8911798396334478,0.5353535353535354
777,5743,24471,0.9254744906843112,0.9311492641906096,0.9254744906843112,0.9283032049602656,0.31313131313131315
588,4441,25921,0.9119567664940328,0.9414225941422594,0.9119567664940328,0.9264554500743452,0.5050505050505051
708,5958,31742,0.9026518966096004,0.9380777952206524,0.9026518966096004,0.9200239500470448,0.4343434343434344
